id_estudiante,habito_actividad,puntuacion_estres,horas_sueno
1,Deportista,7,7.7
2,Sedentario,1,4.8
3,Sedentario,4,5.3
4,Sedentario,4,7.4
5,Deportista,5,6.1
6,Deportista,7,7.6
7,Deportista,7,8.3
8,Sedentario,4,6.7
9,Sedentario,7,5.8
10,Sedentario,3,5.5
11,Deportista,6,8.2
12,Sedentario,2,7.1
13,Sedentario,10,6.2
14,Deportista,9,8.4
15,Deportista,5,8.2
16,Deportista,6,8.9
17,Deportista,4,8.0
18,Sedentario,10,6.3
19,Sedentario,7,6.3
20,Deportista,9,6.0
21,Sedentario,7,6.7
22,Deportista,1,7.5
23,Deportista,1,6.4
24,Deportista,9,7.5
25,Sedentario,9,8.1
26,Sedentario,4,5.6
27,Deportista,9,6.7
28,Sedentario,3,7.8
29,Sedentario,7,7.3
30,Deportista,6,9.9
31,Sedentario,8,4.9
32,Deportista,9,8.1
33,Deportista,5,7.8
34,Sedentario,1,6.6
35,Sedentario,3,7.6
36,Sedentario,10,6.5
37,Deportista,8,6.0
38,Deportista,6,6.8
39,Sedentario,8,8.1
40,Sedentario,9,7.9
41,Deportista,4,7.2
42,Sedentario,1,7.1
43,Deportista,1,9.7
44,Sedentario,10,6.5
45,Deportista,4,7.5
46,Sedentario,7,6.7
47,Deportista,2,8.0
48,Sedentario,3,6.1
49,Sedentario,1,7.2
50,Deportista,5,5.9
51,Sedentario,1,6.9
52,Sedentario,8,6.6
53,Sedentario,1,6.2
54,Sedentario,1,5.9
55,Sedentario,2,5.8
56,Sedentario,2,5.5
57,Deportista,6,5.6
58,Deportista,7,7.3
59,Deportista,5,8.4
60,Deportista,1,7.2
61,Deportista,1,8.0
62,Deportista,3,6.6
63,Sedentario,2,4.9
64,Deportista,5,6.9
65,Deportista,10,6.7
66,Sedentario,6,5.1
67,Deportista,7,7.9
68,Sedentario,4,8.6
69,Deportista,7,7.0
70,Sedentario,8,4.5
71,Sedentario,1,7.3
72,Deportista,6,6.4
73,Deportista,8,6.6
74,Sedentario,5,7.1
75,Sedentario,4,6.3
76,Sedentario,2,5.7
77,Sedentario,6,6.6
78,Deportista,6,7.2
79,Deportista,1,9.0
80,Deportista,9,7.0
81,Sedentario,6,5.4
82,Sedentario,3,6.0
83,Deportista,4,7.2
84,Deportista,4,8.0
85,Deportista,3,5.9
86,Deportista,10,7.8
87,Sedentario,3,5.9
88,Sedentario,3,7.4
89,Sedentario,4,6.4
90,Sedentario,7,7.1
91,Deportista,4,7.2
92,Sedentario,9,7.0
93,Sedentario,1,8.5
94,Sedentario,8,5.6
95,Sedentario,7,6.4
96,Sedentario,2,5.9
97,Sedentario,8,8.4
98,Sedentario,1,6.0
99,Deportista,9,6.9
100,Deportista,9,7.0
